book_name,author_year,summary,link
"Artificial Intelligence A Modern Approach, 1st Edition","Stuart Russell, 1995","Comprehensive, up-to-date introduction to the theory and practice of artificial intelligence. Number one in its field, this textbook is ideal for one or two-semester, undergraduate or graduate-level courses in Artificial Intelligence.",http://www.cin.ufpe.br/~tfl2/artificial-intelligence-modern-approach.9780131038059.25368.pdf
Learning Deep Architectures for AI,"Yoshua Bengio, 2009",Foundations and Trends(r) in Machine Learning.,http://www.iro.umontreal.ca/~bengioy/papers/ftml_book.pdf
The LION Way: Machine Learning plus Intelligent Optimization,"Roberto Battiti & Mauro Brunato, 2013",Learning and Intelligent Optimization (LION) is the combination of learning from data and optimization applied to solve complex and dynamic problems. Learn about increasing the automation level and connecting data directly to decisions and actions.,http://www.e-booksdirectory.com/details.php?ebook=9575
Big Data Now: 2012 Edition,"O’Reilly Media, Inc., 2012","This is not just a technical book or just a business guide. Data is ubiquitous and it doesn't pay much attention to borders, so we've calibrated our coverage to follow it wherever it goes.",http://cdn.oreillystatic.com/oreilly/radarreport/0636920028307/Big_Data_Now_2012_Edition.pdf
Disruptive Possibilities: How Big Data Changes Everything,"Jeffrey Needham, 2013","This book provides an historically-informed overview through a wide range of topics, from the evolution of commodity supercomputing and the simplicity of big data technology, to the ways conventional clouds differ from Hadoop analytics clouds.",http://www.oreilly.com/data/free/files/disruptive-possibilities.pdf
Real-Time Big Data Analytics: Emerging Architecture,"Mike Barlow, 2013","Analysts now demand sub-second, near real-time query results. Fortunately, we have the tools to deliver them. This report examines tools and technologies that are driving real-time big data analytics.",http://www.pentaho.com/assets/pdf/CqPxTROXtCpfoLrUi4Bj.pdf
Computer Vision,"Richard Szeliski, 2010","Challenging real-world applications where vision is being successfully used, both for specialized applications such as medical imaging, and for fun, consumer-level tasks such as image editing and stitching, which you can use on you own personal media",http://szeliski.org/Book/
Natural Language Processing with Python,"Steven Bird, 2009","This book offers a highly accessible introduction to natural language processing, the field that supports a variety of language technologies, from predictive text and email filtering to automatic summarization and translation.",http://www.nltk.org/book_1ed/
Programming Computer Vision with Python,"Jan Erik Solem, 2012","If you want a basic understanding of computer vision’s underlying theory and algorithms, this hands-on introduction is the ideal place to start. You’ll learn techniques for object recognition, 3D reconstruction, stereo imaging, augmented reality, etc",http://programmingcomputervision.com/
The Elements of Data Analytic Style,Jeff Leek,Data analysis is at least as much art as it is science. This book is focused on the details of data analysis that sometimes fall through the cracks in traditional statistics classes and textbooks.,https://leanpub.com/datastyle
